,rownum,sno,CUI1,CUI2,lesk,vector
1404,1404,4,C0735377,C3442797,17,0.1384
1405,1405,5,C0044693,C0665023,19,0.0201
1406,1406,6,C1993516,C3059984,21,0.1595
1407,1407,7,C0448087,C3076016,12,0.6161
1408,1408,8,C3277425,C3464127,17,0
1409,1409,9,C0258131,C1972386,17,0.1161
1410,1410,10,C1416778,C3972208,10,0.0448
1411,1411,11,C1283271,C2766897,35,0.1304
1412,1412,12,C3561473,C3993563,8,0.0383
1413,1413,13,C0042567,C2604807,37,0.3486
1414,1414,14,C3543514,C4041592,27,0.2136
1415,1415,15,C1858506,C2386224,20,0.1277
1416,1416,16,C0079519,C3051136,27,0.4853
1417,1417,17,C1490474,C3474950,1,0
1418,1418,18,C1327728,C3593965,1,0
1419,1419,19,C3211782,C3722794,29,0.3774
1420,1420,20,C1002464,C3947136,5,0.05
1421,1421,21,C0151726,C2414986,35,0.2
1422,1422,22,C0164966,C3870885,145,0.4823
1423,1423,23,C0601528,C3982984,17,0.0548
1424,1424,24,C3037889,C3740284,10,0.0304
1425,1425,25,C3037855,C3529785,26,0.1989
1426,1426,26,C0634456,C3654631,92,0.1137
1427,1427,27,C1259762,C3627755,16,0.2192
1428,1428,28,C1525132,C3851685,46,0.1378
1429,1429,29,C1897764,C3562581,36,0.8356
1430,1430,30,C1213015,C3158489,9,0.0165
1431,1431,31,C0054404,C4005348,30,0.2374
1432,1432,32,C1001632,C3983980,5,0.072
1433,1433,33,C0322433,C2737229,15,0.1122
1434,1434,34,C1981552,C2273421,1,0.0289
1435,1435,35,C1987335,C2417213,22,0.0572
1436,1436,36,C2777357,C3711286,18,0.1364
1437,1437,37,C1527616,C3074823,7,0.0492
1438,1438,38,C1969261,C4003503,10,0.0311
1439,1439,39,C0552766,C3800765,8,0.0076
1440,1440,40,C0540623,C1435273,34,0.187
1441,1441,41,C3712641,C3779873,19,0.0584
1442,1442,42,C0114430,C3206174,23,0.0439
1443,1443,43,C0387295,C0538064,24,0.1349
1444,1444,44,C1462579,C1881704,14,0.1607
1445,1445,45,C2714873,C4034265,9,0.1153
1446,1446,46,C1091151,C3500660,18,0.0785
1447,1447,47,C0758688,C1952936,6,0
1448,1448,48,C0018802,C3795048,59,0.2197
1449,1449,49,C1048271,C3564634,16,0.0739
1450,1450,50,C0617685,C1538310,24,0.0934
1451,1451,51,C1313400,C1332118,22,0.1577
1452,1452,52,C0847190,C1649854,7,0.0632
1453,1453,53,C2448809,C3223187,4,0.0297
1454,1454,54,C0966040,C1368998,21,0.1585
1455,1455,55,C2364920,C3530556,1272,0.3435
1456,1456,56,C2380051,C3972613,3,0.0633
1457,1457,57,C2483976,C3653121,20,0.0487
1458,1458,58,C1599879,C3651333,8,0
1459,1459,59,C1638145,C1846959,4,0
1460,1460,60,C0481799,C3470885,20,0.1022
1461,1461,61,C2764218,C3904553,11,0.0374
1462,1462,62,C1703811,C3415652,1,0
1463,1463,63,C1879944,C3152931,58,0.0316
1464,1464,64,C1269598,C2718804,17,0
1465,1465,65,C1474266,C3635442,1024,1
1466,1466,66,C1862975,C3434695,1,0.0199
1467,1467,67,C0994277,C1918995,5,0.0157
1468,1468,68,C0270254,C3130588,25,0.2303
1469,1469,69,C1196222,C2608883,4,0.14
1470,1470,0,C1972942,C3025595,2,0
1471,1471,1,C0880032,C2425486,19,0.1777
1472,1472,2,C3545474,C3961469,6,0
1473,1473,3,C1475765,C2452639,10,0.0738
1474,1474,4,C0046772,C2448311,11,0.1103
1475,1475,5,C1839561,C2688645,18,0.5053
1476,1476,6,C1700491,C2676935,26,0.1192
1477,1477,7,C3369218,C3620030,11,0.0317
1478,1478,8,C1919800,C3639498,3,0.1601
1479,1479,9,C1341374,C3619641,15,0
1480,1480,10,C0021059,C2250969,24,0.0708
1481,1481,11,C0037536,C2619309,30,0.9055
1482,1482,12,C3029855,C3912347,2,0.0364
1483,1483,13,C0591383,C2480545,14,0.0839
1484,1484,14,C1560026,C4009245,17,0.1286
1485,1485,15,C3086258,C3754520,4225,1
1486,1486,16,C2936657,C3952886,22,0.2064
1487,1487,17,C1382546,C3327464,24,0.0397
1488,1488,18,C1818394,C3279613,29,0.1968
1489,1489,19,C1070296,C1114402,17,0.1311
1490,1490,20,C1333408,C3337480,50,0.2152
1491,1491,21,C2307574,C2943975,7,0.0481
1492,1492,22,C2809700,C3368920,6,0.0415
1493,1493,23,C3753307,C4001905,7,0.018
1494,1494,24,C2557427,C3713110,15,0.014
1495,1495,25,C1577828,C1901836,19,0.13
1496,1496,26,C3740627,C3918432,4225,1
1497,1497,27,C1046141,C1851604,5,0.0327
1498,1498,28,C0683570,C3229382,7,0
1499,1499,29,C0902875,C2450284,18,0.0278
1500,1500,30,C0086592,C2692036,11,0.0291
1501,1501,31,C0914616,C2691654,10,0.0801
1502,1502,32,C3205077,C3992988,1,0
1503,1503,33,C0528836,C0999924,12,0.1183
1504,1504,34,C1940044,C3914072,4225,0.9995
1505,1505,35,C0879489,C1974640,11,0.0198
1506,1506,36,C1644702,C1831391,59,0.1098
1507,1507,37,C1953064,C3318693,22,0.1372
1508,1508,38,C1668740,C3561293,12,0.0273
1509,1509,39,C1562908,C1573735,31,0.2344
1510,1510,40,C1070219,C2696553,3,0.0773
1511,1511,41,C3059313,C3542590,17,0.2175
1512,1512,42,C0033519,C2564164,22,0.1018
1513,1513,43,C2284390,C3949591,1,0.1335
1514,1514,44,C1919273,C3432674,11,0.0267
1515,1515,45,C3501497,C3859456,18,0.0442
1516,1516,46,C1697271,C3845507,12,0
1517,1517,47,C1885973,C4000621,6,0.083
1518,1518,48,C1666541,C3762325,13,0.1404
1519,1519,49,C0914469,C2287831,3,0
1520,1520,50,C1722659,C2418249,13,0.0431
1521,1521,51,C3115114,C3812637,23,0.0771
1522,1522,52,C1501131,C2282167,15,0.3038
1523,1523,53,C1203499,C3905730,1,0.0328
1524,1524,54,C0978973,C3499919,549,0.5595
1525,1525,55,C0008816,C3566620,22,0.5731
1526,1526,56,C0307506,C3352379,1,0.0809
1527,1527,57,C2308820,C2949172,15,0.0495
1528,1528,58,C1921758,C3204731,1,0.0117
1529,1529,59,C3221116,C3369316,15,0
1530,1530,60,C1969230,C3762346,10,0.049
1531,1531,61,C0062935,C3158284,48,0.2289
1532,1532,62,C1280478,C3934818,10,0.2074
1533,1533,63,C0608799,C1523679,53,0.0312
1534,1534,64,C0501322,C2286873,4,0.0098
1535,1535,65,C3254694,C3797197,1,0.0306
1536,1536,66,C0958710,C3134968,8,0.0693
1537,1537,67,C3639797,C3772865,8,0.1257
1538,1538,68,C0592134,C1563454,1238,0.1732
1539,1539,69,C0868977,C2549671,3,0.0215
1540,1540,0,C1682498,C3239486,8,0
1541,1541,1,C1124435,C1188162,27,0.1046
1542,1542,2,C0205042,C3719350,37,0.0795
1543,1543,3,C1020560,C3132328,0,0.0791
1544,1544,4,C1313048,C1612249,19,0.0819
1545,1545,5,C1718667,C3773285,8,0
1546,1546,6,C2458398,C2679667,11,0.1469
1547,1547,7,C0538056,C2785629,10,0.0204
1548,1548,8,C0606244,C1678230,14,0.1041
1549,1549,9,C1684236,C3932607,6,0
1550,1550,10,C3581276,C3723383,2,0.0872
1551,1551,11,C1193015,C3588876,13,0.027
1552,1552,12,C0663947,C3377060,12,0.0942
1553,1553,13,C1066328,C2463235,5,0.0712
1554,1554,14,C3600838,C3742850,4226,1
1555,1555,15,C0960752,C3374568,13,0.0413
1556,1556,16,C0827891,C3084445,8,0.0701
1557,1557,17,C2452004,C3640296,18,0.1127
1558,1558,18,C1092611,C3536804,11,0.039
1559,1559,19,C3409134,C3803636,17,0.063
1560,1560,20,C1248129,C3424800,4,0
1561,1561,21,C0039869,C1858457,54,0.1937
1562,1562,22,C1816613,C3329235,39,0.0998
1563,1563,23,C0502367,C1845149,14,0.1039
1564,1564,24,C3222958,C3700061,8,0.0615
1565,1565,25,C0322948,C1716285,35,0.2404
1566,1566,26,C1453613,C3569824,1,0.0207
1567,1567,27,C1167465,C3791248,47,0.1134
1568,1568,28,C0874130,C2757863,9,0.0155
1569,1569,29,C0066080,C2467406,19,0.4248
1570,1570,30,C0639630,C3971214,5,0.0852
1571,1571,31,C2619234,C3480825,29,0.5387
1572,1572,32,C1057719,C2715760,2,0
1573,1573,33,C0635188,C2308386,11,0
1574,1574,34,C2352680,C3554658,26,0.1546
1575,1575,35,C3608325,C3809448,12,0.0485
1576,1576,36,C0265528,C3082573,3,0.0127
1577,1577,37,C0626839,C3429260,8,0.0693
1578,1578,38,C2935884,C3207919,31,0.1378
1579,1579,39,C0081717,C1927432,10,0.0896
1580,1580,40,C1140097,C2669728,3,0.1672
1581,1581,41,C3365338,C3940691,118,0.8384
1582,1582,42,C1453021,C2391457,10,0.1717
1583,1583,43,C0950159,C2355037,18,0.0629
1584,1584,44,C1889683,C2312550,36,0.9927
1585,1585,45,C0872104,C1417835,103,0.135
1586,1586,46,C2667936,C3729484,37,0.2467
1587,1587,47,C0265496,C3084842,28,0.0472
1588,1588,48,C1088632,C1669487,9,0.1299
1589,1589,49,C2334662,C2813915,9,0.0541
1590,1590,50,C1269568,C1476143,12,0.7659
1591,1591,51,C3423363,C3955359,7,0.0407
1592,1592,52,C1937716,C3430855,7,0.018
1593,1593,53,C0291968,C3050032,6,0.2625
1594,1594,54,C1332340,C2293257,42,0.2983
1595,1595,55,C0388804,C3760415,24,0.2132
1596,1596,56,C2952815,C3272767,37,0.3579
1597,1597,57,C1899359,C3071984,7,0.0179
1598,1598,58,C1826969,C2710401,9,0
1599,1599,59,C1838650,C2634012,11,0.0483
1600,1600,60,C2500543,C3785099,5,0.0817
1601,1601,61,C0319746,C1252744,15,0.0261
1602,1602,62,C2259227,C2928189,8,0.0425
1603,1603,63,C0071196,C0108146,28,0.0581
1604,1604,64,C1081274,C2396102,9,0.0679
1605,1605,65,C1029718,C1250794,28,0.2016
1606,1606,66,C0938354,C2293817,40,0.4324
1607,1607,67,C3735041,C3825858,12,0.1145
1608,1608,68,C1309888,C3491467,857,0.2313
1609,1609,69,C2294142,C2829561,1,0.0129
1610,1610,0,C1614499,C2323080,14,0.0778
1611,1611,1,C0326091,C2661037,16,0.1068
1612,1612,2,C0603970,C2943214,21,0.0408
1613,1613,3,C0760571,C3132511,5,0.0059
1614,1614,4,C3534589,C3945885,72,0.3437
1615,1615,5,C2665396,C3367136,10,0.0303
1616,1616,6,C1026553,C1482579,10,0.0304
1617,1617,7,C0346724,C3774407,7,0
1618,1618,8,C0810275,C2807571,10,0.1116
1619,1619,9,C0491845,C2376822,17,0.2527
1620,1620,10,C1528824,C2672571,9,0.0923
1621,1621,11,C0055002,C1050313,13,0.9505
1622,1622,12,C1565150,C3767999,3,0
1623,1623,13,C1289559,C3942045,2,0.4834
1624,1624,14,C0922523,C2458536,10,0.064
1625,1625,15,C1190599,C1268075,9,0.0499
1626,1626,16,C0927172,C1335122,27,0.2483
1627,1627,17,C0990475,C1662063,23,0.017
1628,1628,18,C1046191,C2782610,14,0.303
1629,1629,19,C1462545,C3040084,4225,0.9995
1630,1630,20,C0818383,C1512761,21,0.0679
1631,1631,21,C2687573,C3348991,5,0.0481
1632,1632,22,C0482033,C2663175,39,0.1335
1633,1633,23,C0930775,C1015672,8,0.0471
1634,1634,24,C0038762,C1817227,96,0.2711
1635,1635,25,C3006843,C3720921,10,0.1273
1636,1636,26,C1310136,C3535859,22,0.0399
1637,1637,27,C1001077,C1649585,15,0.1475
1638,1638,28,C3811405,C4001039,10,0.0496
1639,1639,29,C2645218,C2790818,7,0.0732
1640,1640,30,C2630372,C3374974,4225,0.9995
1641,1641,31,C3270664,C3610941,1,0
1642,1642,32,C2747721,C2963497,18,0.252
1643,1643,33,C1545591,C3584924,1,0.0349
1644,1644,34,C1890200,C4042322,1,0.0213
1645,1645,35,C0968900,C3387826,14,0.0521
1646,1646,36,C2004526,C3905515,8,0.0729
1647,1647,37,C1824425,C3427783,12,0.0377
1648,1648,38,C1041187,C3700676,25,0.0082
1649,1649,39,C1688745,C3364475,24,0.9885
1650,1650,40,C2452822,C3946537,10,0.076
1651,1651,41,C2449448,C2633064,8,0.0247
1652,1652,42,C2415188,C2663735,12,0.0545
1653,1653,43,C1871062,C3922348,12,0.1108
1654,1654,44,C0281547,C1916211,22,0.1688
1655,1655,45,C1420285,C2535911,20,0.1616
1656,1656,46,C1877677,C3577749,33,0.3495
1657,1657,47,C1081070,C1846259,16,0.0592
1658,1658,48,C0157085,C1012575,18,0.0252
1659,1659,49,C2338651,C3181726,18,0.0603
1660,1660,50,C0597136,C3612713,19,0.5078
1661,1661,51,C2373273,C2782082,7,0.0482
1662,1662,52,C1623425,C3222268,20,0.016
1663,1663,53,C0482802,C0661517,93,0.2436
1664,1664,54,C0921428,C3262603,21,0.0778
1665,1665,55,C1943096,C3827925,1,0
1666,1666,56,C1088124,C1447590,9,0.0086
1667,1667,57,C0290965,C3636646,19,0.1805
1668,1668,58,C1586202,C2783345,27,0.0993
1669,1669,59,C1007241,C2495142,5,0.0519
1670,1670,60,C0826461,C1629619,7,0.0384
1671,1671,61,C3580912,C4042210,7,0.0362
1672,1672,62,C1631995,C3758091,17,0.0429
1673,1673,63,C0642888,C2763271,23,0.0802
1674,1674,64,C1318038,C1460302,8,0.0725
1675,1675,65,C1924988,C3027070,7,0.0179
1676,1676,66,C0940618,C2297187,7,0.1106
1677,1677,67,C1886425,C3906755,4225,0.9995
1678,1678,68,C1512863,C3036410,23,0.3806
1679,1679,69,C0501059,C2262864,27,0.2203
1680,1680,0,C1253771,C3858862,8,0.0648
1681,1681,1,C0095860,C2276929,3,0.0297
1682,1682,2,C1832314,C2288537,1,0.0315
1683,1683,3,C1373016,C1431349,3,0.0317
1684,1684,4,C0296959,C2463886,17,0.0295
1685,1685,5,C2995172,C4015704,19,0.0983
1686,1686,6,C0895080,C4008528,12,0.1092
1687,1687,7,C0298651,C1714631,35,0.1356
1688,1688,8,C1481325,C3065862,12,0.0319
1689,1689,9,C0975429,C3998691,27,0.2412
1690,1690,10,C1149004,C3587461,18,0.0261
1691,1691,11,C2489731,C3720702,1,0
1692,1692,12,C1670954,C1674258,4,0
1693,1693,13,C2446806,C3384660,8,0.0745
1694,1694,14,C0077531,C0936142,1801,0.2688
1695,1695,15,C1175232,C2410826,10,0.0811
1696,1696,16,C1056816,C3107025,1,0
1697,1697,17,C3608205,C3783161,37,0.7791
1698,1698,18,C0649593,C3993048,11,0.0662
1699,1699,19,C2662489,C3555086,40,0.1365
1700,1700,20,C1520281,C3116193,44,0.0822
1701,1701,21,C3361842,C4041827,1,0.0191
1702,1702,22,C1358037,C4024795,27,0.0135
1703,1703,23,C1098992,C2473234,14,0.093
1704,1704,24,C1668742,C3885496,9,0.0196
1705,1705,25,C0043219,C0107596,19,0.0967
1706,1706,26,C2774255,C3845902,1,0.0079
1707,1707,27,C1257481,C4002442,15,0.0335
1708,1708,28,C1598459,C3823310,4,0
1709,1709,29,C0385951,C1065940,13,0.0422
1710,1710,30,C3825922,C3962012,3,0.0247
1711,1711,31,C2304785,C2523120,9,0.0605
1712,1712,32,C1545554,C2533128,4,0.0751
1713,1713,33,C3018290,C3318616,7,0.0179
1714,1714,34,C1675859,C2923112,9,0.1678
1715,1715,35,C1865208,C2825874,79,0.047
1716,1716,36,C3408217,C4009783,10,0.0965
1717,1717,37,C2256380,C4026262,9,0.0825
1718,1718,38,C1957549,C3329814,0,0
1719,1719,39,C1308368,C1820190,90,0.029
1720,1720,40,C0827847,C3367888,9,0.0589
1721,1721,41,C2755167,C3972471,1,0.0902
1722,1722,42,C2331224,C3269887,6,0.0745
1723,1723,43,C0055481,C1212949,9,0.0984
1724,1724,44,C3000123,C3914985,6,0.1065
1725,1725,45,C0226032,C3800872,2,0.0357
1726,1726,46,C0155629,C0265122,61112,0.8467
1727,1727,47,C1825064,C3973250,36,0.1106
1728,1728,48,C3206799,C4008963,14,0
1729,1729,49,C1942833,C3892756,5,0.0342
1730,1730,50,C0503121,C3774264,7,0.2554
1731,1731,51,C3743217,C3775937,12,0.0512
1732,1732,52,C1524270,C2400453,15,0.0815
1733,1733,53,C0476910,C3011561,3,0.0401
1734,1734,54,C1724107,C3033638,25,0.1843
1735,1735,55,C1528982,C3896088,18,0.0503
1736,1736,56,C0053855,C3711931,1228,0.506
1737,1737,57,C0637135,C2549295,14,0.1987
1738,1738,58,C2555136,C2632771,5,0.0471
1739,1739,59,C1328836,C3265064,116,0.3
1740,1740,60,C1818202,C1925436,45,0.2423
1741,1741,61,C1571225,C3419407,20,0.1917
1742,1742,62,C1204588,C3620843,10,0.0275
1743,1743,63,C1332581,C3438402,28,0.0973
1744,1744,64,C2761335,C3922836,36,0.9927
1745,1745,65,C0870224,C3497959,25,0.1058
1746,1746,66,C1441800,C2398033,42,0.6959
1747,1747,67,C3004403,C3078998,12,0.0317
1748,1748,68,C1888742,C3064626,4225,1
1749,1749,69,C0822016,C1325733,55,0.1875
1750,1750,0,C2788778,C2928302,20,0.1747
1751,1751,1,C0134029,C1326736,42,0.076
1752,1752,2,C2299000,C3255719,8,0.0854
1753,1753,3,C1028602,C3227389,10,0.0713
1754,1754,4,C2772821,C3817903,25,0.0287
1755,1755,5,C1212386,C1518561,16,0.0312
1756,1756,6,C0067749,C1629186,21,0.1619
1757,1757,7,C1674717,C3599835,10,0.0303
1758,1758,8,C3482074,C4006655,22,0.0569
1759,1759,9,C1841614,C3371545,20,0.1299
1760,1760,10,C1948720,C2785391,23,0
1761,1761,11,C0004631,C1507683,122,0.4944
1762,1762,12,C1834782,C2431887,19,0.3117
1763,1763,13,C1847383,C2253841,9,0.0124
1764,1764,14,C2435114,C3965369,7,0.0888
1765,1765,15,C3276239,C3988313,11,0.095
1766,1766,16,C0216876,C4020255,129,0.4204
1767,1767,17,C1453389,C3166855,5,0.0084
1768,1768,18,C2804564,C2830043,1,0.0183
1769,1769,19,C1863988,C3484290,11,0.1152
1770,1770,20,C1031067,C1239659,15,0.0033
1771,1771,21,C0387033,C0641113,25,0.0431
1772,1772,22,C0064880,C3604839,26,0.1612
1773,1773,23,C0803276,C3326741,18,0.128
1774,1774,24,C0297903,C0764742,1801,0.9882
1775,1775,25,C1351867,C1741079,18,0.009
1776,1776,26,C0372467,C1145651,19,0.1364
1777,1777,27,C1373050,C3040528,2,0.0244
1778,1778,28,C2611140,C3848678,65,0.2824
1779,1779,29,C1649082,C3768019,10,0.0759
1780,1780,30,C0618581,C3560532,1,0.0285
1781,1781,31,C2517306,C2950873,6,0.0482
1782,1782,32,C2351125,C3106895,11,0.088
1783,1783,33,C1945861,C3391112,1024,1
1784,1784,34,C1280843,C3537343,11,0.0833
1785,1785,35,C3380543,C3804093,2,0.0326
1786,1786,36,C1212506,C1717405,21,0.1722
1787,1787,37,C0025375,C1194063,11,0.0567
1788,1788,38,C1020463,C2350032,5,0.016
1789,1789,39,C3147577,C3152557,8,0.0463
1790,1790,40,C0295174,C1212343,1,0.0372
1791,1791,41,C2638059,C3002364,0,0.0816
1792,1792,42,C1066186,C2749042,4,0
1793,1793,43,C0182502,C1077384,21,0.5956
1794,1794,44,C0031822,C0734224,13,0.1063
1795,1795,45,C0329228,C0483077,22,0.1766
1796,1796,46,C1513316,C2929941,15,0.0442
1797,1797,47,C3315981,C3426555,4225,0.9995
1798,1798,48,C0500360,C0817868,7,0
1799,1799,49,C1614507,C3809280,13,0.1183
1800,1800,50,C1138403,C2764637,11,0.0228
1801,1801,51,C0928134,C3350860,2,0.1572
1802,1802,52,C1226477,C3109846,11,0.0273
1803,1803,53,C3471027,C3971139,10,0.0445
1804,1804,54,C2568035,C2623377,7,0
1805,1805,55,C0672690,C2718372,27,0.157
1806,1806,56,C1704152,C1862835,11,0.0173
1807,1807,57,C3101365,C3667803,13,0
1808,1808,58,C1619574,C2347745,13,0
1809,1809,59,C1884808,C3655541,1,0
1810,1810,60,C1097579,C3339179,6,0.0556
1811,1811,61,C0820078,C2728213,5,0.0225
1812,1812,62,C1037921,C3895986,12,0
1813,1813,63,C1176347,C2289192,19,0.1538
1814,1814,64,C1556928,C3632560,15,0.1464
1815,1815,65,C1040049,C1121388,23,0.117
1816,1816,66,C0297036,C1092137,24,0.1495
1817,1817,67,C1151693,C3154509,17,0
1818,1818,68,C3811529,C3894682,26,0.1871
1819,1819,69,C1994018,C3025405,15,0.1102
1820,1820,0,C0503801,C1947292,4,0.1046
1821,1821,1,C1057573,C2825786,18,0.3379
1822,1822,2,C1642394,C2475881,13,0.4088
1823,1823,3,C3167221,C3980354,42,0.0905
1824,1824,4,C0216191,C3432715,3,0
1825,1825,5,C2699330,C3444487,1,0.019
1826,1826,6,C0226784,C4042498,29,0.6359
1827,1827,7,C1159220,C1898622,16,0.0145
1828,1828,8,C3331976,C3788521,21,0.094
1829,1829,9,C0649722,C3829329,15,0.0038
1830,1830,10,C1121102,C2414359,9,0.0664
1831,1831,11,C2390128,C3056296,1,0
1832,1832,12,C1853494,C1903070,10,0.049
1833,1833,13,C0707400,C3113942,15,0
1834,1834,14,C1503919,C3329723,1024,1
1835,1835,15,C0269906,C3741851,9,0.1145
1836,1836,16,C0016343,C2572446,38,0.1529
1837,1837,17,C1027402,C1739842,1,0
1838,1838,18,C3869531,C3910504,10,0.0143
1839,1839,19,C0773197,C2559245,18,0.1
1840,1840,20,C1917682,C3763295,36,1
1841,1841,21,C3568928,C3701073,1,0
1842,1842,22,C1212506,C1646987,8,0.1452
1843,1843,23,C2357966,C3717948,8,0.0512
1844,1844,24,C0952583,C2635358,1,0.0147
1845,1845,25,C0880844,C2513689,34,0.1057
1846,1846,26,C2690782,C3731962,5,0.0595
1847,1847,27,C0623292,C2460988,5,0.0883
1848,1848,28,C0014653,C3658103,229,0.2445
1849,1849,29,C1924959,C3280401,27,0.0693
1850,1850,30,C1228012,C4018878,1,0.0311
1851,1851,31,C1050563,C2544449,5,0.0613
1852,1852,32,C1473451,C2990758,12,0.0273
1853,1853,33,C2291070,C3769775,8,0.0886
1854,1854,34,C0035705,C2414291,22,0.0637
1855,1855,35,C0656740,C0758134,1227,0.8009
1856,1856,36,C2722515,C3766455,43,0.1753
1857,1857,37,C2572008,C2800302,2,0
1858,1858,38,C2305288,C3692884,41,0.2044
1859,1859,39,C1167117,C3872265,29,0
1860,1860,40,C1455812,C3899818,15,0.2296
1861,1861,41,C0998374,C3986973,12,0.1957
1862,1862,42,C1100399,C1970356,23,0.3695
1863,1863,43,C0929806,C1185264,2118,0.7064
1864,1864,44,C2425473,C3584246,6,0.0566
1865,1865,45,C0229216,C1176268,26,0.1057
1866,1866,46,C1173005,C2616134,5,0.0676
1867,1867,47,C2304715,C2689399,3,0.0191
1868,1868,48,C1251237,C2529598,15,0.0925
1869,1869,49,C1071291,C1649896,8,0.0786
1870,1870,50,C0783981,C3652195,1025,0.5738
1871,1871,51,C1830215,C2799444,24,0.2169
1872,1872,52,C1144094,C1566684,44,0.0701
1873,1873,53,C1172755,C3072721,7,0.0468
1874,1874,54,C0299563,C2628450,14,0.0708
1875,1875,55,C0203549,C3276281,12,0.2734
1876,1876,56,C1869639,C1873125,36,0.0966
1877,1877,57,C2696718,C3029294,5,0.0488
1878,1878,58,C1507320,C3172976,14,0.0884
1879,1879,59,C0793662,C2508066,9,0.0886
1880,1880,60,C3252141,C3580517,13,0.1373
1881,1881,61,C0159333,C2275094,5,0
1882,1882,62,C1144851,C3085724,3,0.0596
1883,1883,63,C1083738,C3758651,4225,1
1884,1884,64,C0006383,C1468415,32,0.1578
1885,1885,65,C3375664,C3594548,1,0.0328
1886,1886,66,C1520525,C1913309,4,0.0059
1887,1887,67,C2598207,C3057337,21,0.1018
1888,1888,68,C3101739,C3253199,6,0.0392
1889,1889,69,C0271959,C1094793,17,0.0056
1890,1890,0,C0043219,C0865280,28,0.0663
1891,1891,1,C1741636,C2924565,10,0.1217
1892,1892,2,C1742119,C2479488,8,0.064
1893,1893,3,C0822312,C0985839,21,0.2178
1894,1894,4,C0736575,C1670784,48,0.1098
1895,1895,5,C0883406,C1842281,15,0.0673
1896,1896,6,C1011789,C1072452,1,0.0851
1897,1897,7,C2330679,C3919397,8,0.0791
1898,1898,8,C3410508,C3977026,1,0.0326
1899,1899,9,C3808062,C3824897,11,0.1384
1900,1900,10,C0672169,C1460605,29,0.5477
1901,1901,11,C0087071,C2696797,35,0.1668
1902,1902,12,C3020827,C3925514,7,0.0179
1903,1903,13,C2643845,C3959381,4225,0.9995
1904,1904,14,C1633068,C2370751,1,0.0689
1905,1905,15,C1834292,C3410693,27,0.1094
1906,1906,16,C0613678,C2567708,20,0.1153
1907,1907,17,C0431500,C2805202,23,0.0894
1908,1908,18,C0662868,C2382863,22,0.0772
1909,1909,19,C0656712,C3217234,13,0.052
1910,1910,20,C1677335,C3337013,4225,0.9995
1911,1911,21,C1221568,C3372258,1,0.0328
1912,1912,22,C1101276,C2771743,10,0.0413
1913,1913,23,C1078247,C2723391,8,0.1455
1914,1914,24,C1275554,C1479137,9,0.0125
1915,1915,25,C0886568,C2610055,70,0.2218
1916,1916,26,C1709391,C3179161,21,0.0794
1917,1917,27,C1023799,C3043422,5,0.072
1918,1918,28,C1149597,C2639723,11,0.0067
1919,1919,29,C1484136,C1677998,4225,1
1920,1920,30,C0929295,C1358641,6,0.008
1921,1921,31,C1866670,C2689460,9,0.1546
1922,1922,32,C0141016,C2787426,8,0.0694
1923,1923,33,C0942207,C2970516,179,0.4209
1924,1924,34,C0912402,C1309613,13,0.0095
1925,1925,35,C1537913,C3062525,37,0.1486
1926,1926,36,C1082427,C3238679,15,0
1927,1927,37,C1174734,C3259537,69,0.0924
1928,1928,38,C0124412,C2709068,2,0
1929,1929,39,C3802666,C4037583,17,0.1203
1930,1930,40,C0047287,C1016926,6,0.0432
1931,1931,41,C1654354,C3886405,1,0
1932,1932,42,C1477753,C1818289,10,0.0609
1933,1933,43,C1860842,C2677157,21,0.1644
1934,1934,44,C1301627,C1834875,41,0.143
1935,1935,45,C1018414,C3437760,11,0.0273
1936,1936,46,C1705829,C3928048,13,0.1474
1937,1937,47,C0110282,C1415550,18,0.0451
1938,1938,48,C2699283,C3011733,0,0.0713
1939,1939,49,C2514320,C2944834,851,0.9303
1940,1940,50,C2555906,C2953484,4,0.14
1941,1941,51,C0912680,C3149814,14,0.0223
1942,1942,52,C1135467,C2379822,42,0.5576
1943,1943,53,C2784169,C3541448,24,0.0713
1944,1944,54,C0833912,C3177687,8,0.0306
1945,1945,55,C2926951,C3491082,14,0
1946,1946,56,C1482696,C2492752,5,0.0154
1947,1947,57,C3317306,C3467233,8,0
1948,1948,58,C2358098,C3924894,3,0.114
1949,1949,59,C0950232,C2806587,10,0.0894
1950,1950,60,C1085081,C3132360,18,0.0273
1951,1951,61,C2456352,C2660435,1,0
1952,1952,62,C0951533,C3993063,8,0.0081
1953,1953,63,C1318842,C3799202,11,0.0291
1954,1954,64,C1208600,C1436783,12,0.5976
1955,1955,65,C1173355,C1638267,24,0.1178
1956,1956,66,C2499479,C3426075,1,0
1957,1957,67,C1817456,C2979470,5,0
1958,1958,68,C2514881,C2529115,857,0.7346
1959,1959,69,C0653704,C2763948,15,0.1287
1960,1960,0,C0552621,C2712537,2,0.061
1961,1961,1,C1338674,C1630704,1027,0.1501
1962,1962,2,C1064138,C3392039,1,0.0319
1963,1963,3,C0613586,C0963615,1235,0.5549
1964,1964,4,C2680496,C3427944,10,0.0733
1965,1965,5,C0769035,C1318316,33,0.1747
1966,1966,6,C0101993,C1856293,36,0.3559
1967,1967,7,C0071648,C3914523,27,0.1674
1968,1968,8,C0630123,C3484350,83,0.3448
1969,1969,9,C0501894,C2658581,6,0.029
1970,1970,10,C0935577,C2336337,4,0
1971,1971,11,C1213652,C2292291,7,0.0732
