,rownum,sno,CUI1,CUI2,lesk,vector
140,140,0,C3101094,C3491543,13,0.0155
141,141,1,C1040985,C2963183,7,0.1037
142,142,2,C0915647,C3414476,16,0.2611
143,143,3,C3587048,C3621383,20,0.036
144,144,4,C2340570,C3039545,12,0.7098
145,145,5,C0880321,C1979065,443,0.4831
146,146,6,C1183638,C2752011,31,0.085
147,147,7,C0345122,C3040468,33,0.1649
148,148,8,C1929155,C2731582,8,0
149,149,9,C0200705,C1000836,19,0.0111
150,150,10,C3805474,C3991158,16,0.0275
151,151,11,C2477424,C2696126,851,0.9443
152,152,12,C1682667,C2438931,8,0.0554
153,153,13,C2526018,C3047382,5,0.0482
154,154,14,C0840888,C3564012,3,0.0172
155,155,15,C2497124,C4005765,1,0
156,156,16,C0380712,C3626705,13,0.0917
157,157,17,C3321370,C3748905,16,0.0603
158,158,18,C1705078,C3270174,28,0.231
159,159,19,C1864802,C4037538,98,0.1131
160,160,20,C1908945,C4001642,10,0.0303
161,161,21,C2710744,C3550159,20,0.1576
162,162,22,C1034564,C2935132,7,0
163,163,23,C0227217,C3998907,20,0.1483
164,164,24,C0007062,C1575596,8,0.0393
165,165,25,C2304511,C3177385,13,0.0313
166,166,26,C1667465,C2688835,5,0.0074
167,167,27,C0330069,C2618599,9,0.1435
168,168,28,C0369336,C3352030,27,0.0713
169,169,29,C2273706,C3777488,1,0.0818
170,170,30,C2951017,C3733133,6,0.0763
171,171,31,C0640264,C1610766,1225,0.1773
172,172,32,C2436358,C3363929,5,0.0483
173,173,33,C1886092,C1954562,1,0.0621
174,174,34,C1864157,C3221276,19,0.0089
175,175,35,C0104163,C1346099,25,0.1555
176,176,36,C2290300,C3380109,3,0.0629
177,177,37,C1626131,C2340351,7,0
178,178,38,C3231239,C3603931,15,0
179,179,39,C1198115,C2480658,5,0.0905
180,180,40,C2536884,C3130428,5,0.0556
181,181,41,C3375282,C4035446,14,0.1085
182,182,42,C3104764,C3389683,1,0.0328
183,183,43,C2658047,C3978247,9,0.0799
184,184,44,C1016677,C2825377,10,0.0395
185,185,45,C2297978,C2731334,5,0.2475
186,186,46,C0657217,C1073930,15,0.4089
187,187,47,C1670487,C1819409,3,0.0661
188,188,48,C0605956,C2605903,133,0.4472
189,189,49,C0942516,C2303541,24,0.6995
190,190,50,C0911735,C2940250,12,0.0789
191,191,51,C3021476,C3889363,14,0.1139
192,192,52,C0935841,C3428471,15,0.5686
193,193,53,C2001887,C3221751,10,0
194,194,54,C1136253,C1236337,30,0.0005
195,195,55,C1083968,C2539894,5,0.0491
196,196,56,C0065543,C0912356,31,0.4663
197,197,57,C0035379,C2372809,40,0.0888
198,198,58,C0934972,C1529827,15,0.0604
199,199,59,C0615021,C0712032,78,0.1417
200,200,60,C2405655,C3965142,10,0.0442
201,201,61,C0071382,C1619844,11,0.0401
202,202,62,C0492868,C3621203,9,0.0951
203,203,63,C1619268,C3944083,11,0.1565
204,204,64,C1495934,C2810261,1,0.0328
205,205,65,C2976715,C3012409,19,0.0281
206,206,66,C1664171,C2510654,14,0.08
207,207,67,C0714983,C2961756,1026,0.0166
208,208,68,C1075367,C1527700,2,0.2738
209,209,69,C0537528,C3247268,42,0.1282
210,210,0,C0723090,C3422421,12,0.121
211,211,1,C0292852,C3023815,12,0.0065
212,212,2,C0384679,C2734664,31,0.0738
213,213,3,C0788971,C2708606,4,0
214,214,4,C1228653,C3377171,7,0.0179
215,215,5,C0030260,C1513456,40,0.0519
216,216,6,C0005911,C1667792,32,0.1076
217,217,7,C3409193,C3926371,4225,0.9995
218,218,8,C1630491,C3749796,9,0.0264
219,219,9,C2346155,C3364563,22,0.189
220,220,10,C0051220,C1934540,26,0.1322
221,221,11,C1553418,C2285879,6,0.0647
222,222,12,C1073327,C3794437,26,0.2255
223,223,13,C0386148,C2991819,17,0.1736
224,224,14,C0076939,C3610919,16,0.1921
225,225,15,C0528332,C1163543,12,0.0631
226,226,16,C1073793,C3237268,4,0
227,227,17,C0018960,C3595808,20,0.4038
228,228,18,C0815023,C3606380,1,0
229,229,19,C1919265,C3779211,11,0.0271
230,230,20,C0673101,C1602673,19,0.0377
231,231,21,C1949541,C2951432,12,0.1315
232,232,22,C1971844,C3895150,5,0
233,233,23,C0958012,C2823513,5,0
234,234,24,C0486633,C2690577,10,0.0216
235,235,25,C1710611,C2313482,9,0.0494
236,236,26,C0460894,C3029593,20,0.0213
237,237,27,C1416972,C3121078,17,0.0891
238,238,28,C1415994,C1545813,16,0.0871
239,239,29,C1498523,C3209546,13,0
240,240,30,C1171773,C1937086,13,0.1991
241,241,31,C1917828,C2327014,10,0.7028
242,242,32,C2640812,C2671462,1,0
243,243,33,C2494315,C2953578,11,0.0773
244,244,34,C2998511,C3824721,10,0.7941
245,245,35,C2689409,C3315896,3,0
246,246,36,C1870374,C3930668,17,0.7811
247,247,37,C0548611,C0594454,7,0
248,248,38,C0492923,C3080467,7,0.1167
249,249,39,C2672034,C3597336,1,0.0328
250,250,40,C1576805,C1912295,22,0.5785
251,251,41,C3709767,C3979201,13,0.1224
252,252,42,C3357025,C3388208,7,0.0732
253,253,43,C2453684,C2824299,1,0
254,254,44,C3110995,C3395748,11,0.0978
255,255,45,C1418965,C1815686,223,0.3601
256,256,46,C0957750,C2741333,6,0
257,257,47,C3632814,C3959708,21,0.0556
258,258,48,C1019995,C3174264,3,0.0054
259,259,49,C3108107,C3930767,36,0.86
260,260,50,C1258485,C3014898,11,0.0132
261,261,51,C1439860,C1967948,2,0.0104
262,262,52,C2281202,C2825600,28,0.2346
263,263,53,C2269061,C3919998,7,0.018
264,264,54,C0613105,C2543651,13,0.0644
265,265,55,C0989604,C1559753,40,0.0628
266,266,56,C1649799,C3634245,37,0.9264
267,267,57,C2392674,C3721031,13,0.108
268,268,58,C1945185,C3725319,1,0.0319
269,269,59,C2448355,C4045341,19,0.2431
270,270,60,C0998279,C2816335,7,0.0176
271,271,61,C0755705,C1838539,46,0.0812
272,272,62,C3541489,C3607971,1,0.0159
273,273,63,C2500047,C3929397,7,0.1177
274,274,64,C1145547,C2272714,24,0.1324
275,275,65,C2298262,C3826005,0,0
276,276,66,C1982991,C3175230,11,0.0394
277,277,67,C0755004,C2631242,15,0.1103
278,278,68,C0446423,C1518175,8,0.0598
279,279,69,C2277956,C3135218,5,0.072
280,280,0,C0805066,C1148382,3,0.0072
281,281,1,C0008819,C2755774,2230,0.2636
282,282,2,C1480997,C3756895,4225,0.9995
283,283,3,C1188876,C3411893,9,0.7506
284,284,4,C2239735,C3731222,15,0.0344
285,285,5,C0369197,C1925741,32,0.1816
286,286,6,C3429826,C3539170,25,0.1458
287,287,7,C0105247,C0600499,39,0.0429
288,288,8,C0303881,C4011602,13,0.1009
289,289,9,C0937002,C2814004,13,0
290,290,10,C0486661,C0606529,128,0.072
291,291,11,C1063283,C2352142,14,0.0374
292,292,12,C1439627,C2821421,1,0
293,293,13,C3398473,C3989254,2,0.0848
294,294,14,C3177462,C3656556,9,0.0893
295,295,15,C3245217,C3384351,15,0
296,296,16,C0289340,C2524181,7,0.0327
297,297,17,C0925989,C3161167,44,0.5174
298,298,18,C0158868,C3467959,12,0.1412
299,299,19,C2623648,C4003357,36,0.5327
300,300,20,C2646075,C3897379,13,0.023
301,301,21,C0447606,C1543313,11,0.0468
302,302,22,C3065398,C3792646,7,0.0561
303,303,23,C0735424,C4018029,13,0.0398
304,304,24,C1055281,C1437079,11,0.0071
305,305,25,C2550372,C3926413,5,0.0496
306,306,26,C0363920,C3099423,19,0.0877
307,307,27,C1515461,C2816564,19,0.8931
308,308,28,C0806286,C2970661,8,0.0051
309,309,29,C0890266,C3245040,38,0.0859
310,310,30,C0810296,C1336890,50,0.0725
311,311,31,C2690119,C3093301,6,0.0582
312,312,32,C1413247,C1837061,1226,0.303
313,313,33,C1557921,C3692514,13,0.0037
314,314,34,C1223851,C3152706,19,0.1675
315,315,35,C2272549,C2388118,5,0.0482
316,316,36,C3078206,C3237181,15,0
317,317,37,C0639662,C1461895,14,0.0224
318,318,38,C0833307,C3450887,7,0.1407
319,319,39,C1624754,C2619279,2,0
320,320,40,C2756725,C3735039,10,0
321,321,41,C0504358,C1744412,17,0.1245
322,322,42,C1288353,C1544317,44,0.3419
323,323,43,C0908118,C3119301,27,0.1059
324,324,44,C1648560,C2500488,6,0.116
325,325,45,C3243793,C3339033,3,0.0652
326,326,46,C0106316,C0483192,7,0.0644
327,327,47,C1937241,C2985552,8,0.0466
328,328,48,C1207138,C1633892,10,0.2689
329,329,49,C0344221,C0734192,21,0.1024
330,330,50,C1631760,C2760327,11,0.0293
331,331,51,C3450455,C3458089,14,0.303
332,332,52,C0205661,C3230446,18,0.0056
333,333,53,C2296434,C3979505,4085,1
334,334,54,C1517166,C1985938,53,0.1557
335,335,55,C0207039,C3476008,16,0.175
336,336,56,C1013702,C2763263,1024,0.9424
337,337,57,C0945838,C3934477,36,0.1119
338,338,58,C1239322,C3577128,15,0
339,339,59,C1456454,C2753822,176,0.4026
340,340,60,C2631815,C4000440,9,0.0306
341,341,61,C2614065,C3361188,0,0.0787
342,342,62,C1232146,C3008023,1062,0.8146
343,343,63,C0053418,C3003602,4,0
344,344,64,C0178296,C1646954,20,0.0643
345,345,65,C0922446,C3262839,30,0.1949
346,346,66,C1916604,C4015992,13,0
347,347,67,C2808664,C3989378,9,0.0574
348,348,68,C0176681,C3623656,5,0.0433
349,349,69,C1873053,C3722673,9,0
350,350,0,C0375768,C2281845,5,0
351,351,1,C1972879,C4044490,1244,0.5002
352,352,2,C1904588,C3021097,4226,1
353,353,3,C1871249,C3884640,1262,0.2981
354,354,4,C1862008,C3562621,21,0.0066
355,355,5,C1842933,C3845196,16,0.1667
356,356,6,C1869354,C2598517,48,0.2295
357,357,7,C1184357,C3013552,2,0
358,358,8,C0507823,C1660359,23,0.3086
359,359,9,C0835411,C1036541,9,0.093
360,360,10,C1663412,C1870238,26,0.0469
361,361,11,C3636444,C3902665,88,0.7252
362,362,12,C3587658,C3815101,16,0.1688
363,363,13,C2754996,C3550163,30,0.0611
364,364,14,C1852612,C2765897,29,0.1237
365,365,15,C2624233,C2699962,24,0.1662
366,366,16,C2558409,C3064565,5,0.0487
367,367,17,C1475861,C2286712,12,0.0267
368,368,18,C0930784,C2439546,21,0.0718
369,369,19,C3101045,C3272982,15,0.0746
370,370,20,C0024553,C3987739,39,0.174
371,371,21,C1151945,C2291164,1,0
372,372,22,C2687264,C3893156,5,0.01
373,373,23,C2539300,C3712403,9,0.0076
374,374,24,C0262307,C3657266,18,0.146
375,375,25,C2352389,C2755537,54,0.1015
376,376,26,C0599248,C2619237,10,0.1126
377,377,27,C1986743,C2776509,18,0.0894
378,378,28,C0833399,C3972600,9,0.0511
379,379,29,C1035084,C3821154,9,0.2734
380,380,30,C0531013,C1189117,14,0.5162
381,381,31,C1992297,C3104248,1,0.0798
382,382,32,C1382698,C1586121,1034,0.4062
383,383,33,C1471004,C1666906,21,0.0522
384,384,34,C0937129,C0953923,3,0.0648
385,385,35,C0033715,C2765619,24,0.0336
386,386,36,C0652482,C3363217,9,0.1383
