,CUI1,CUI2,vector
187,C0945203,C3259695,0.1104
188,C0497421,C2966682,0.1553
189,C3262583,C3089414,0.1864
190,C0079292,C0013604,0.2945
191,C1432212,C1835959,0.3374
192,C0829099,C1634386,0.0000
193,C0006932,C1049103,0.0417
194,C0801851,C1526346,0.2736
195,C1009039,C1311385,0.5000
196,C0606254,C0797100,0.1626
197,C1016557,C2661357,0.4489
198,C3443116,C0910385,0.0847
199,C1226462,C0406737,0.0052
200,C0921380,C3548216,0.1015
201,C0083219,C1342502,0.0486
202,C3810405,C1886761,0.0903
203,C3057315,C3539379,0.0648
204,C0026065,C2411203,0.0874
205,C1306199,C1416420,0.3539
206,C3397917,C2733813,0.1570
207,C3987001,C2936509,0.0507
208,C1437489,C1538397,0.5967
209,C0364230,C3824616,0.1298
210,C3843111,C0228714,0.1077
211,C3490414,C1148067,0.0285
212,C1563930,C1630751,0.2622
213,C2210463,C1826077,0.1743
214,C3533665,C3274435,0.5226
215,C1333902,C0205101,0.2003
216,C1213652,C2963590,0.1146
217,C1415307,C0745763,0.1084
218,C1367476,C1332539,0.3838
219,C2715924,C1846555,0.0826
220,C0367341,C1701046,0.0259
221,C0600548,C1309747,0.3189
222,C1556493,C0926745,0.0000
223,C0227747,C0085110,0.3329
224,C2736021,C3974892,0.0687
225,C2360577,C0083858,0.4175
226,C2992777,C1001664,0.0629
227,C0176049,C1526654,0.0256
228,C0383017,C0619264,0.0371
229,C2457948,C0026256,0.1951
230,C3274525,C3275169,0.1183
231,C1743533,C1422786,0.1531
232,C3320260,C0482284,0.2510
233,C3586908,C1333991,0.0812
234,C2926089,C3590508,0.0325
235,C0067196,C0206723,0.2474
236,C2368405,C0154129,0.2325
237,C0880143,C0698284,0.1349
238,C1311207,C0814169,0.0305
239,C3271085,C2953816,0.0719
240,C1626283,C2748851,0.0443
241,C1146753,C0304094,0.1444
242,C0735502,C1010191,0.3581
243,C3889705,C3818731,0.0724
244,C0817047,C2411081,0.0102
245,C1000491,C3487529,0.2785
246,C0038505,C0792291,0.0928
247,C2626573,C3118395,0.9995
248,C1647144,C1440866,0.0362
249,C0229688,C0376152,0.7838
250,C0550999,C2621115,0.1178
251,C0802400,C1365976,0.0972
252,C3745506,C0944313,0.0667
253,C1586664,C0171406,0.0925
254,C0715720,C2982818,0.0000
255,C1007666,C3174901,0.0159
256,C0285562,C0797505,0.1957
257,C0023443,C1640454,0.6347
258,C0956391,C0053309,0.7622
259,C1470283,C0933106,0.0675
260,C3533490,C0482205,0.1212
261,C0032838,C0981770,0.5910
262,C1420227,C1335086,0.5856
263,C0925471,C3313186,0.1901
264,C1403891,C1902790,0.1714
265,C1316979,C2350202,0.1956
266,C1611824,C0550971,0.0629
267,C1045998,C3003314,0.7236
268,C1544054,C3488329,0.0156
269,C0803580,C4017573,0.1127
270,C3429597,C1316986,0.2524
271,C0670274,C1364181,0.1783
272,C4034225,C2423366,0.0411
273,C0942840,C0796776,0.3199
274,C0731331,C3773885,0.1190
275,C0819735,C1012177,0.6939
276,C3175675,C2614628,0.1175
277,C2458181,C0021219,0.4051
278,C2453094,C3830130,0.0234
279,C1823882,C0798452,0.2422
280,C1282693,C1707982,0.5350
281,C0016431,C0711700,0.4642
282,C1212621,C1423607,0.1408
283,C0504038,C0799673,0.0573
284,C3234884,C1168808,0.1791
285,C2981110,C3658044,0.0335
286,C0228590,C0802376,0.0908
287,C3971572,C2771027,0.9150
288,C1644139,C1371824,0.0793
289,C0279917,C2247911,0.1995
290,C2734517,C1920806,0.2715
291,C1150023,C0381260,0.2029
292,C0831834,C0804346,0.2823
293,C1304682,C3059800,0.0931
294,C0279084,C2406529,0.1488
295,C3239440,C0616803,0.0130
296,C3565767,C0799818,0.1749
297,C1013806,C0017409,0.4439
298,C0072634,C0331149,0.4268
299,C1539416,C3654565,0.1278
300,C1538055,C1504880,0.6325
301,C2246196,C2634670,0.0306
302,C1976655,C1559973,0.4432
303,C3710104,C1316645,0.2639
304,C0651236,C2741832,0.1744
305,C1459652,C1868678,0.1907
306,C1428889,C1236741,0.0000
307,C1066461,C0776371,0.6165
308,C1430596,C3130042,0.5575
309,C0177418,C1525863,0.0609
310,C3563553,C1083613,0.9413
311,C0027776,C3592777,0.0340
312,C2347393,C0801370,0.6256
313,C0881516,C1872528,0.4013
314,C1518696,C1077667,0.7336
315,C0364757,C3827202,0.0015
316,C0366483,C1970564,0.2693
317,C3828062,C0204785,0.1114
318,C1977935,C3762873,0.1143
319,C2955502,C0020514,0.5603
320,C0882256,C0924303,0.2988
321,C0892860,C0079258,0.0398
322,C2571552,C1235281,0.1435
323,C2759577,C2648390,0.0175
324,C4021321,C2700331,0.0754
325,C3937857,C3713637,0.1327
326,C0016006,C0981500,0.6313
327,C3565265,C1244703,0.0746
328,C1164703,C0154865,0.5081
329,C1840841,C3015764,0.0489
330,C2396100,C1883125,0.2325
331,C1714974,C0978484,0.6740
332,C0595289,C0282327,0.0548
333,C1492923,C0039995,0.0979
334,C0612216,C1419434,0.1360
335,C0012892,C3742300,0.0890
336,C0982097,C0942771,0.2727
337,C2627799,C2545169,0.0398
338,C3897559,C1619000,0.1912
339,C2409562,C0042133,0.2771
340,C1431494,C0804526,0.1230
341,C1944349,C2028879,0.1142
342,C3151891,C1462961,0.0613
343,C3752261,C0086992,0.1270
344,C0714055,C3421064,0.0000
345,C0886530,C3775742,0.3113
346,C2666358,C3457436,0.0179
347,C1412582,C0362138,0.1327
348,C2970313,C2626318,0.3164
