,CUI1,CUI2,vector
817,C3420014,C2735928,0.0333
818,C0061996,C1814293,0.0499
819,C1945213,C0162710,0.1906
820,C0006288,C1216198,0.1998
821,C0223282,C1182482,0.6340
822,C0955039,C0162371,0.0543
823,C2437660,C0550031,0.0558
824,C2361813,C1312435,0.2689
825,C2926314,C0798894,0.7150
826,C0804266,C0042435,0.4718
827,C1521611,C3539709,0.6429
828,C2610991,C2796939,0.0616
829,C0941351,C0880376,0.3409
830,C1156804,C3894010,0.1535
831,C0802221,C1147954,0.1586
832,C3267763,C1849792,0.0704
833,C0488848,C0689376,0.3307
834,C3021907,C3624382,1.0000
835,C3450326,C0921992,0.3048
836,C1630804,C2331882,0.0000
837,C0652839,C3890706,0.0173
838,C0012170,C0735415,0.1655
839,C3260861,C0890406,0.1958
840,C0025424,C1267206,0.2575
841,C1550648,C1053137,0.2284
842,C0331018,C1259962,0.1895
843,C1131729,C0337308,0.1718
844,C1525739,C0161132,0.2882
845,C2751226,C3814483,0.0689
846,C0802207,C0981241,0.2445
847,C2735731,C3007807,0.0395
848,C0581664,C2928951,0.2184
849,C0054122,C2706927,0.2204
850,C3534000,C3596158,0.4850
851,C0373360,C0797930,0.0221
852,C0363740,C1496697,0.0471
853,C0802890,C0233727,0.4115
854,C1624678,C2926285,0.5809
855,C1185093,C3360242,0.3221
856,C3531051,C1979189,0.4775
857,C2917748,C0797138,0.5673
858,C0024262,C1815704,0.4680
859,C3545814,C3001223,0.0554
860,C0162579,C1543453,0.4491
861,C3096446,C3887926,0.1601
862,C3483884,C0175594,0.0729
863,C1417829,C0027086,0.2341
864,C0689398,C0052950,0.2764
865,C1716180,C3430241,0.2374
866,C0378003,C2923738,0.2430
867,C3830063,C2426574,0.0202
868,C0944333,C1412297,0.1616
869,C3322373,C1714727,0.2918
870,C0836442,C2448287,0.0651
871,C4005502,C0880866,0.0946
872,C1194781,C0176977,0.0741
873,C2782601,C0832050,0.0563
874,C3068010,C1677152,0.1452
875,C2992467,C2427143,0.0611
876,C0013556,C3655911,0.0817
877,C3635743,C1573740,0.1455
878,C0997344,C2348270,0.1249
879,C1163671,C1315697,0.0043
880,C1084204,C1963578,0.1016
881,C3269987,C0551621,0.0805
882,C0324693,C0485754,0.1361
883,C1954636,C0550984,0.7325
884,C1121182,C1933024,0.4002
885,C0858978,C1643073,0.1142
886,C0549955,C0802496,0.1524
887,C2721810,C3145692,0.1302
888,C0700461,C2365902,0.5966
889,C3496434,C1952793,0.1465
890,C2433911,C3176167,0.2769
891,C0798311,C0917890,0.3925
892,C3098361,C0368132,0.1248
893,C0387288,C1316827,0.3355
894,C4025893,C3570333,0.1302
895,C1405867,C0060440,0.1031
896,C0796922,C2917761,0.0000
897,C0817087,C0046247,0.0511
898,C3847006,C0797034,0.7242
899,C2285398,C0734448,0.2345
900,C3172475,C1336393,0.4777
901,C0178959,C1492541,0.2055
902,C0575805,C3047529,0.0000
903,C3844301,C0623461,0.1340
904,C3500636,C0804120,0.0904
905,C3955102,C2726910,0.4261
906,C2701143,C3723445,0.0927
907,C1979299,C0800036,0.4575
908,C2996875,C1148438,0.1488
909,C2736389,C3276882,0.1215
910,C1454337,C0251349,0.1901
911,C1114157,C2409957,0.1442
912,C0065533,C0980584,0.7759
913,C1551696,C3711772,0.0211
914,C2991736,C2727357,0.1742
915,C2648947,C0607537,0.0501
916,C3493179,C2974265,0.8385
917,C0994673,C0003964,0.5330
918,C3359962,C4003643,1.0000
919,C0869066,C0945434,0.1757
920,C3484049,C3263096,0.2660
921,C3900585,C3177957,0.8785
922,C1065953,C2801648,0.6469
923,C3889531,C3331076,0.0153
924,C3824012,C3813718,0.5402
925,C3272456,C0304305,0.1511
926,C1953096,C3269768,0.0454
927,C2457774,C3019926,0.0549
928,C2985492,C0025701,0.3423
929,C1259629,C2623184,0.0457
930,C2719628,C0650570,0.0737
931,C0700184,C3400140,0.1517
932,C3727638,C2598593,0.1281
933,C1519599,C0534519,0.7196
934,C4024601,C0482289,0.1184
935,C2545357,C0022661,0.3179
936,C0209738,C0799801,0.3761
937,C0549892,C3851037,0.1498
938,C2786208,C2439555,0.0386
939,C1520187,C2262835,0.4136
940,C1316873,C3269396,0.3202
941,C3797798,C1412756,0.2281
942,C1452962,C1585805,0.2101
943,C1701811,C3916634,0.0000
944,C2700440,C0955307,0.0097
945,C1591548,C1641151,0.3247
946,C2360663,C1545079,0.7988
947,C2443481,C0227176,0.1424
948,C1427985,C3173393,0.1305
949,C0057223,C0366747,0.2409
950,C1722717,C1849718,0.1286
951,C3812521,C1415569,0.9320
952,C0392693,C1704816,0.2946
953,C1953801,C1333722,0.1195
954,C1492133,C3130952,0.0000
955,C0652395,C1906007,0.0625
956,C0178671,C4009696,0.1502
957,C1104433,C0485433,0.0916
958,C0800499,C1492289,0.1523
959,C3237709,C3572913,0.0000
960,C1423639,C0828417,0.0294
961,C3805629,C0342856,0.1629
962,C3109503,C1067967,0.0179
963,C0801610,C2787942,0.1161
964,C1383501,C1624681,0.2586
965,C1147203,C1889625,0.1460
966,C2423938,C0750979,0.2053
967,C0927510,C3825937,0.0716
968,C3930683,C2325709,0.0619
969,C3052036,C4036969,0.0965
970,C1144270,C0283204,0.7541
971,C3230559,C0482278,0.0235
972,C2943251,C2483073,0.7079
973,C2753941,C0709072,0.0314
974,C1831107,C0578477,0.1168
975,C2446203,C1261538,0.1255
976,C2453065,C2425311,0.6915
977,C3413963,C0941968,0.1726
978,C3564384,C0497337,0.1249
979,C1557613,C3489428,0.1045
980,C3558489,C1415417,0.0117
981,C1537570,C3595689,0.1850
982,C0639762,C0880648,0.1633
983,C2063866,C3556154,0.2196
984,C1707248,C0797963,0.1933
985,C0802406,C0792429,0.0842
986,C2712729,C1524890,0.0881
987,C1658773,C3768204,0.8913
988,C0617388,C0799456,0.0565
989,C0231274,C1323929,0.0533
990,C0047101,C2676931,0.1229
991,C2361824,C0011917,0.5655
992,C1449863,C3448992,0.9491
993,C2567928,C0524926,0.4163
994,C1708049,C0751620,0.2251
995,C2481159,C1977222,0.0652
996,C1449731,C3818561,0.1513
997,C1369856,C0483753,0.9132
998,C1419959,C1417913,0.7462
999,C3620174,C1839029,0.0735
